review_id,customer_id,product_id,rating,review_text,review_date
1,1,321,1,Customer 1 reviewed product Pet Travel Litter Box with a rating of 1,
2,32,142,4,Customer 32 reviewed product 4K Streaming Device with a rating of 1,
3,79,98,4,Customer 79 reviewed product Water Bottle with a rating of 3,
4,9,311,4,Customer 9 reviewed product Pet Travel Bowl with a rating of 2,
5,96,56,2,Customer 96 reviewed product Necklace with a rating of 4,
6,41,87,4,Customer 41 reviewed product Camping Gear with a rating of 4,
7,3,245,5,Customer 3 reviewed product Indoor Plant with a rating of 2,
8,8,152,3,Customer 8 reviewed product Yoga Block with a rating of 5,
9,88,217,4,Customer 88 reviewed product Bird Bath with a rating of 5,
10,1,73,3,Customer 1 reviewed product Reptile Habitat with a rating of 4,
11,17,92,3,Customer 17 reviewed product Boxing Gloves with a rating of 4,
12,4,104,2,Customer 4 reviewed product Snorkeling Gear with a rating of 5,
13,133,301,4,Customer 133 reviewed product Cat Treats with a rating of 4,
14,73,88,1,Customer 73 reviewed product Hiking Boots with a rating of 4,
15,11,264,4,Customer 11 reviewed product Pet Toys with a rating of 5,
16,130,171,3,Customer 130 reviewed product Baking Set with a rating of 1,
17,76,32,2,Customer 76 reviewed product Vacuum Cleaner with a rating of 1,
18,50,115,4,Customer 50 reviewed product Soil Bags with a rating of 4,
19,1,62,4,Customer 1 reviewed product High Chair with a rating of 3,
20,1,90,4,Customer 1 reviewed product Golf Clubs with a rating of 4,
21,106,222,2,Customer 106 reviewed product Compost Bin with a rating of 4,
22,44,135,5,Customer 44 reviewed product Smart Light Bulb with a rating of 1,
23,95,250,1,Customer 95 reviewed product Bookends with a rating of 2,
24,140,111,5,Customer 140 reviewed product Fertilizer with a rating of 5,
25,19,143,3,Customer 19 reviewed product Home Theater System with a rating of 2,
26,73,65,1,Customer 73 reviewed product Baby Clothes with a rating of 2,
27,87,93,5,Customer 87 reviewed product Gym Bag with a rating of 1,
28,100,147,2,Customer 100 reviewed product Fitness Tracker with a rating of 1,
29,40,207,5,Customer 40 reviewed product Picnic Table with a rating of 5,
30,19,122,2,Customer 19 reviewed product Grill with a rating of 1,
31,106,67,3,Customer 106 reviewed product Dog Bed with a rating of 2,
32,58,176,5,Customer 58 reviewed product Dehumidifier with a rating of 1,
33,10,72,1,Customer 10 reviewed product Bird Cage with a rating of 2,
34,3,110,5,Customer 3 reviewed product Seeds Pack with a rating of 2,
35,7,321,4,Customer 7 reviewed product Pet Travel Litter Box with a rating of 4,
36,82,17,1,Customer 82 reviewed product Hair Dryer with a rating of 4,
37,133,43,3,Customer 133 reviewed product T-shirt with a rating of 5,
38,30,98,5,Customer 30 reviewed product Water Bottle with a rating of 5,
39,46,200,2,Customer 46 reviewed product Portable Dishwasher with a rating of 3,
40,135,105,1,Customer 135 reviewed product Kayak with a rating of 1,
41,13,18,4,Customer 13 reviewed product Face Mask with a rating of 2,
42,6,145,5,Customer 6 reviewed product Home Massage Chair with a rating of 3,
43,59,270,4,Customer 59 reviewed product Dog House with a rating of 2,
44,92,33,5,Customer 92 reviewed product Air Conditioner with a rating of 1,
45,9,123,3,Customer 9 reviewed product Deck Chair with a rating of 2,
46,105,299,5,Customer 105 reviewed product Small Animal Food with a rating of 1,
47,44,81,4,Customer 44 reviewed product Motherboard with a rating of 1,
48,62,192,5,Customer 62 reviewed product Sound Bar with a rating of 3,
49,1,302,5,Customer 1 reviewed product Dog Training Treats with a rating of 5,
50,43,65,3,Customer 43 reviewed product Baby Clothes with a rating of 2,
51,8,211,3,Customer 8 reviewed product Garden Trellis with a rating of 1,
52,82,72,2,Customer 82 reviewed product Bird Cage with a rating of 3,
